model,training_seed,noise_seed,saltpepper_probability,threshold,trainable_parameters,train_samples,validation_samples,test_samples,accuracy,precision,recall,f1,pr_auc,tp,fp,fn,tn,clean_f1,f1_drop,f1_retention
Schmidt-QPP QNN L2,29,clean,0.0,0.5482865324830994,25,4500,1500,1500,0.9453333333333334,0.8114285714285714,0.9466666666666667,0.8738461538461538,0.9229130694983899,284,66,16,1134,0.8738461538461538,0.0,1.0
TinyMLP h5 (lambda12),29,clean,0.0,0.5658007902903174,21,4500,1500,1500,0.97,0.897196261682243,0.96,0.927536231884058,0.9685432329870536,288,33,12,1167,0.927536231884058,0.0,1.0
TinyMLP h5 (mu12),29,clean,0.0,0.47414915385743567,21,4500,1500,1500,0.9453333333333334,0.8114285714285714,0.9466666666666667,0.8738461538461538,0.9229130694983899,284,66,16,1134,0.8738461538461538,0.0,1.0
Schmidt-QPP QNN L2,29,1001,0.01,0.5482865324830994,25,4500,1500,1500,0.5926666666666667,0.3246899661781285,0.96,0.485256950294861,0.29167940960932764,288,599,12,601,0.8738461538461538,0.38858920355129284,0.555311650865598
TinyMLP h5 (lambda12),29,1001,0.01,0.5658007902903174,21,4500,1500,1500,0.8646666666666667,0.5991820040899796,0.9766666666666667,0.7427122940430925,0.885501110498289,293,196,7,1004,0.927536231884058,0.1848239378409655,0.800736692015209
TinyMLP h5 (mu12),29,1001,0.01,0.47414915385743567,21,4500,1500,1500,0.5926666666666667,0.3246899661781285,0.96,0.485256950294861,0.29167940960932764,288,599,12,601,0.8738461538461538,0.38858920355129284,0.555311650865598
Schmidt-QPP QNN L2,29,2003,0.01,0.5482865324830994,25,4500,1500,1500,0.588,0.32094594594594594,0.95,0.47979797979797983,0.3089451280043943,285,603,15,597,0.8738461538461538,0.394048174048174,0.5490645895575473
TinyMLP h5 (lambda12),29,2003,0.01,0.5658007902903174,21,4500,1500,1500,0.8413333333333334,0.560077519379845,0.9633333333333334,0.7083333333333333,0.8766491842577817,289,227,11,973,0.927536231884058,0.21920289855072472,0.7636718749999999
TinyMLP h5 (mu12),29,2003,0.01,0.47414915385743567,21,4500,1500,1500,0.588,0.32094594594594594,0.95,0.47979797979797983,0.3089451280043942,285,603,15,597,0.8738461538461538,0.394048174048174,0.5490645895575473
Schmidt-QPP QNN L2,29,3001,0.01,0.5482865324830994,25,4500,1500,1500,0.6153333333333333,0.3376318874560375,0.96,0.49956634865568084,0.32870365910506105,288,565,12,635,0.8738461538461538,0.374279805190473,0.5716868426517474
TinyMLP h5 (lambda12),29,3001,0.01,0.5658007902903174,21,4500,1500,1500,0.854,0.5808383233532934,0.97,0.7265917602996255,0.8932681937265298,291,210,9,990,0.927536231884058,0.20094447158443252,0.7833567415730337
TinyMLP h5 (mu12),29,3001,0.01,0.47414915385743567,21,4500,1500,1500,0.6153333333333333,0.3376318874560375,0.96,0.49956634865568084,0.32870365910506105,288,565,12,635,0.8738461538461538,0.374279805190473,0.5716868426517474
Schmidt-QPP QNN L2,29,1001,0.02,0.5482865324830994,25,4500,1500,1500,0.44066666666666665,0.2565492321589883,0.9466666666666667,0.40369580668088134,0.23937224242973404,284,823,16,377,0.8738461538461538,0.4701503471652725,0.4619758351101635
TinyMLP h5 (lambda12),29,1001,0.02,0.5658007902903174,21,4500,1500,1500,0.714,0.4092827004219409,0.97,0.5756676557863503,0.7952973803096327,291,420,9,780,0.927536231884058,0.3518685760977077,0.6206416913946589
TinyMLP h5 (mu12),29,1001,0.02,0.47414915385743567,21,4500,1500,1500,0.44066666666666665,0.2565492321589883,0.9466666666666667,0.40369580668088134,0.239372242429734,284,823,16,377,0.8738461538461538,0.4701503471652725,0.4619758351101635
Schmidt-QPP QNN L2,29,2003,0.02,0.5482865324830994,25,4500,1500,1500,0.43533333333333335,0.25645592163846836,0.96,0.4047786366830639,0.23145603459451058,288,835,12,365,0.8738461538461538,0.4690675171630899,0.46321498916195697
TinyMLP h5 (lambda12),29,2003,0.02,0.5658007902903174,21,4500,1500,1500,0.7146666666666667,0.4101123595505618,0.9733333333333334,0.5770750988142292,0.8123657109653641,292,420,8,780,0.927536231884058,0.35046113306982873,0.6221590909090909
TinyMLP h5 (mu12),29,2003,0.02,0.47414915385743567,21,4500,1500,1500,0.43533333333333335,0.25645592163846836,0.96,0.4047786366830639,0.23145603459451056,288,835,12,365,0.8738461538461538,0.4690675171630899,0.46321498916195697
Schmidt-QPP QNN L2,29,3001,0.02,0.5482865324830994,25,4500,1500,1500,0.42333333333333334,0.25413402959094866,0.9733333333333334,0.4030365769496204,0.23629425969878504,292,857,8,343,0.8738461538461538,0.4708095768965334,0.46122143488953043
TinyMLP h5 (lambda12),29,3001,0.02,0.5658007902903174,21,4500,1500,1500,0.7313333333333333,0.42568542568542567,0.9833333333333333,0.5941591137965759,0.834591091256343,295,398,5,802,0.927536231884058,0.33337711808748205,0.6405777945619334
TinyMLP h5 (mu12),29,3001,0.02,0.47414915385743567,21,4500,1500,1500,0.42333333333333334,0.25413402959094866,0.9733333333333334,0.4030365769496204,0.23629425969878506,292,857,8,343,0.8738461538461538,0.4708095768965334,0.46122143488953043
Schmidt-QPP QNN L2,29,1001,0.03,0.5482865324830994,25,4500,1500,1500,0.3446666666666667,0.23131392604248624,0.98,0.37428389560789305,0.21252371851693944,294,977,6,223,0.8738461538461538,0.4995622582382608,0.4283178382836804
TinyMLP h5 (lambda12),29,1001,0.03,0.5658007902903174,21,4500,1500,1500,0.6026666666666667,0.3329571106094808,0.9833333333333333,0.4974704890387859,0.7243709101785071,295,591,5,609,0.927536231884058,0.4300657428452721,0.536335370994941
TinyMLP h5 (mu12),29,1001,0.03,0.47414915385743567,21,4500,1500,1500,0.3446666666666667,0.23131392604248624,0.98,0.37428389560789305,0.21252371851693944,294,977,6,223,0.8738461538461538,0.4995622582382608,0.4283178382836804
Schmidt-QPP QNN L2,29,2003,0.03,0.5482865324830994,25,4500,1500,1500,0.3426666666666667,0.23076923076923078,0.98,0.3735705209656925,0.2122828116911811,294,980,6,220,0.8738461538461538,0.5002756328804614,0.42750147645721853
TinyMLP h5 (lambda12),29,2003,0.03,0.5658007902903174,21,4500,1500,1500,0.6186666666666667,0.34295612009237875,0.99,0.5094339622641509,0.7980664836718608,297,569,3,631,0.927536231884058,0.41810226961990704,0.5492334905660378
TinyMLP h5 (mu12),29,2003,0.03,0.47414915385743567,21,4500,1500,1500,0.3426666666666667,0.23076923076923078,0.98,0.3735705209656925,0.21228281169118107,294,980,6,220,0.8738461538461538,0.5002756328804614,0.42750147645721853
